"city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","population"
"Evanston, IL","Evanston",0,0,1,9,18,94,3,2019,2,"IL",10,115,"Evanston","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",76259,74413,NA,NA,"","Evanston","IL","Midwest","East North Central",74413
"Fairfield, CT","Fairfield",0,0,0,0,2,68,8,2024,8,"CT",0,78,"Fairfield","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",62270,63588,NA,NA,"","Fairfield","CT","Northeast","New England",63588
"Farmington Hills, MI","Farmington Hills",0,4,0,5,3,74,20,2023,1,"MI",9,97,"Farmington Hills","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,82223,NA,NA,"","Farmington Hills","MI","Midwest","East North Central",82223
"Fayetteville, NC","Fayetteville",6,NA,31,72,83,490,60,2023,10,"NC",109,633,"Fayetteville","https://data.fayettevillenc.gov/search?tags=incidents","Agency RMS","Open Source",208980,209262,NA,NA,"","Fayetteville","NC","South","South Atlantic",209262
"Flint, MI","Flint",1,7,2,68,10,58,8,2022,9,"MI",78,76,"Flint","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,79234,NA,NA,"","Flint","MI","Midwest","East North Central",79234
"Florissant, MO","Florissant",0,0,3,9,10,74,10,2017,1,"MO",12,94,"Florissant","https://showmecrime.mo.gov/","State UCR","Open Source",51565,51045,NA,NA,"","Florissant","MO","Midwest","West North Central",51045
"Flower Mound, TX","Flower Mound",0,1,1,3,3,40,0,2017,1,"TX",5,43,"Flower Mound","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",78167,79513,NA,NA,"","Flower Mound","TX","South","West South Central",79513
"Fort Collins, CO","Fort Collins",0,6,3,39,34,312,30,2021,11,"CO",48,376,"Fort Collins","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",168045,168886,NA,NA,"","Fort Collins","CO","West","Mountain",168886
"Fort Worth, TX","Fort Worth",10,71,154,231,449,1568,229,2017,1,"TX",466,2246,"Fort Worth","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",948605,973722,NA,NA,"","Fort Worth","TX","South","West South Central",973722
"Fremont, CA","Fremont",1,5,17,17,56,271,70,2018,3,"CA",40,397,"Fremont","https://www.fremontpolice.gov/","Agency Aggregated","Provided by Agency",223430,220775,NA,NA,"","Fremont","CA","West","Pacific",220775
"Frisco, TX","Frisco",0,5,4,6,39,153,2,2017,1,"TX",15,194,"Frisco","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",218962,228527,NA,NA,"","Frisco","TX","South","West South Central",228527
"Galveston, TX","Galveston",0,6,5,4,36,87,8,2017,1,"TX",15,131,"Galveston","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",52920,52810,NA,NA,"","Galveston","TX","South","West South Central",52810
"Garland, TX","Garland",3,5,39,27,125,491,71,2017,1,"TX",74,687,"Garland","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",241095,240051,NA,NA,"","Garland","TX","South","West South Central",240051
"Georgetown, TX","Georgetown",0,3,0,3,4,37,3,2017,1,"TX",6,44,"Georgetown","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",83371,87871,NA,NA,"","Georgetown","TX","South","West South Central",87871
"Gilbert, AZ","Gilbert",0,5,2,9,30,255,14,2018,3,"AZ",16,299,"Gilbert","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",277123,278495,NA,NA,"","Gilbert","AZ","West","Mountain",278495
"Glendale, AZ","Glendale",5,10,21,51,133,495,66,2020,1,"AZ",87,694,"Glendale","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",250466,253768,NA,NA,"","Glendale","AZ","West","Mountain",253768
"Glendale, CA","Glendale",0,2,9,18,61,208,32,2017,1,"CA",29,301,"Glendale","https://www.glendaleca.gov/government/departments/police-department/community-outreach-resources-and-engagement-c-o-r-e/crime-prevention-programs-resources/crime-statistics-booking-logs","Agency Aggregated","Open Source",188599,185923,NA,NA,"","Glendale","CA","West","Pacific",185923
"Goodyear, AZ","Goodyear",0,3,4,10,21,156,5,2020,1,"AZ",17,182,"Goodyear","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",107212,109929,NA,NA,"","Goodyear","AZ","West","Mountain",109929
"Grand Island, NE","Grand Island",0,3,0,20,10,79,9,2023,7,"NE",23,98,"Grand Island","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",51733,52264,NA,NA,"","Grand Island","NE","Midwest","West North Central",52264
"Grand Junction, CO","Grand Junction",2,10,2,31,22,145,21,2022,4,"CO",45,188,"Grand Junction","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",68126,69240,NA,NA,"","Grand Junction","CO","West","Mountain",69240
"Grand Prairie, TX","Grand Prairie",0,11,17,8,79,289,55,2017,1,"TX",36,423,"Grand Prairie","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",199663,205487,NA,NA,"","Grand Prairie","TX","South","West South Central",205487
"Grand Rapids, MI","Grand Rapids",3,5,9,106,36,162,46,2018,4,"MI",123,244,"Grand Rapids","https://grpd-grandrapids.hub.arcgis.com/","Agency RMS","Open Source",196662,196019,NA,NA,"","Grand Rapids","MI","Midwest","East North Central",196019
"Grapevine, TX","Grapevine",0,0,1,7,8,100,12,2017,1,"TX",8,120,"Grapevine","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",50988,51458,NA,NA,"","Grapevine","TX","South","West South Central",51458
"Greeley, CO","Greeley",2,3,9,37,24,141,28,2020,5,"CO",51,193,"Greeley","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",109258,109183,NA,NA,"","Greeley","CO","West","Mountain",109183
"Green Township, OH","Green Township",0,0,2,6,4,63,7,2023,3,"OH",8,74,"Green Township","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",59568,59277,NA,NA,"","Green Township","OH","Midwest","East North Central",59277
"Greensboro, NC","Greensboro",12,10,49,186,169,672,119,2020,7,"NC",257,960,"Greensboro","https://data.greensboro-nc.gov/pages/385998aa22e940999b05b6c3b6dcad03","Agency Aggregated","Provided by Agency",298719,303237,NA,NA,"","Greensboro","NC","South","South Atlantic",303237
"Greenwich, CT","Greenwich",0,0,0,0,3,40,22,2022,1,"CT",0,65,"Greenwich","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",63631,63777,NA,NA,"","Greenwich","CT","Northeast","New England",63777
"Gresham, OR","Gresham",1,2,10,12,37,159,78,2024,3,"OR",25,274,"Gresham","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",111590,110225,NA,NA,"","Gresham","OR","West","Pacific",110225
"Hamden, CT","Hamden",0,1,7,14,4,86,16,2022,2,"CT",22,106,"Hamden","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",60831,60691,NA,NA,"","Hamden","CT","Northeast","New England",60691
"Hampton, VA","Hampton",0,0,8,21,31,243,22,2018,2,"VA",29,296,"Hampton","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",138843,138533,NA,NA,"","Hampton","VA","South","South Atlantic",138533
"Harlingen, TX","Harlingen",0,1,3,15,44,233,9,2017,1,"TX",19,286,"Harlingen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",72047,71581,NA,NA,"","Harlingen","TX","South","West South Central",71581
"Harrisburg, PA","Harrisburg",4,0,4,19,13,48,13,2022,3,"PA",27,74,"Harrisburg","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",50201,50229,NA,NA,"","Harrisburg","PA","Northeast","Middle Atlantic",50229
"Harrisonburg, VA","Harrisonburg",0,0,0,6,9,62,2,2018,2,"VA",6,73,"Harrisonburg","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",51363,50928,NA,NA,"","Harrisonburg","VA","South","South Atlantic",50928
"Hartford, CT","Hartford",4,0,10,45,33,184,48,2022,8,"CT",59,265,"Hartford","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",120196,120710,NA,NA,"","Hartford","CT","Northeast","New England",120710
"Haverford, PA","Haverford",0,1,0,1,3,27,0,2022,3,"PA",2,30,"Haverford","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",50505,50505,NA,NA,"","Haverford Township","PA","Northeast","Middle Atlantic",50505
"Haverhill, MA","Haverhill",0,3,4,29,19,57,10,2018,7,"MA",36,86,"Haverhill","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",67359,67133,NA,NA,"","Haverhill","MA","Northeast","New England",67133
"Henderson, NV","Henderson",0,5,19,45,67,314,135,2024,1,"NV",69,516,"Henderson","https://nevadacrimestats.nv.gov/public/View/dispview.aspx","State UCR","Open Source",325332,337794,NA,NA,"","Henderson","NV","West","Mountain",337794
"Hillsboro, OR","Hillsboro",0,1,5,14,24,172,27,2023,5,"OR",20,223,"Hillsboro","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",106345,107459,NA,NA,"","Hillsboro","OR","West","Pacific",107459
"Honolulu, HI","Honolulu",2,NA,55,83,195,1207,321,2023,11,"HI",140,1723,"Honolulu","https://www.honolulupd.org/dashboard/crime-by-category/","Agency Aggregated","Open Source",994799,987546,NA,NA,"","Honolulu","HI","West","Pacific",987546
"Houston, TX","Houston",22,92,937,1168,1510,6136,1065,2017,1,"TX",2219,8711,"Houston","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",2276533,2304406,NA,NA,"","Houston","TX","South","West South Central",2304406
"Idaho Falls, ID","Idaho Falls",0,3,0,9,15,52,8,2020,5,"ID",12,75,"Idaho Falls","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",68162,68662,NA,NA,"","Idaho Falls","ID","West","Mountain",68662
"Independence, MO","Independence",2,3,20,38,56,375,90,2017,1,"MO",63,521,"Independence","https://showmecrime.mo.gov/","State UCR","Open Source",121255,120326,NA,NA,"","Independence","MO","Midwest","West North Central",120326
"Indianapolis, IN","Indianapolis",17,63,133,428,398,1702,752,2023,10,"IN",641,2852,"Indianapolis","https://www.indy.gov/agency/indianapolis-metropolitan-police-department","Agency Aggregated","Provided by Agency",886455,887131,NA,NA,"","Indianapolis","IN","Midwest","East North Central",887131
"Irving, TX","Irving",1,3,13,24,86,371,56,2017,1,"TX",41,513,"Irving","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",254141,255203,NA,NA,"","Irving","TX","South","West South Central",255203
"Jackson, MI","Jackson",0,5,0,8,8,58,10,2024,2,"MI",13,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joplin, MO","Joplin",1,4,6,18,29,212,23,2017,1,"MO",29,264,"Joplin","https://showmecrime.mo.gov/","State UCR","Open Source",51989,52881,NA,NA,"","Joplin","MO","Midwest","West North Central",52881
"Kansas City, MO","Kansas City",13,40,173,452,434,1026,365,2017,1,"MO",678,1825,"Kansas City","https://showmecrime.mo.gov/","State UCR","Open Source",508856,509855,NA,NA,"","Kansas City","MO","Midwest","West North Central",509855
"Kentwood, MI","Kentwood",0,8,1,6,18,71,8,2017,10,"MI",15,97,"Kentwood","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,53979,NA,NA,"","Kentwood","MI","Midwest","East North Central",53979
"Killeen, TX","Killeen",2,7,24,53,99,205,59,2017,1,"TX",86,363,"Killeen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",159546,161968,NA,NA,"","Killeen","TX","South","West South Central",161968
"Knoxville, TN","Knoxville",2,12,47,93,135,610,91,2017,1,"TN",154,836,"Knoxville","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency Aggregated","Provided by Agency",194724,198132,NA,NA,"","Knoxville","TN","South","East South Central",198132
"Kyle, TX","Kyle",0,1,1,4,12,26,3,2017,1,"TX",6,41,"Kyle","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",57724,63931,NA,NA,"","Kyle","TX","South","West South Central",63931
"La Mesa, CA","La Mesa",0,6,11,6,16,56,11,2019,2,"CA",23,83,"La Mesa","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",60333,60008,NA,NA,"","La Mesa","CA","West","Pacific",60008
"Lake Havasu City, AZ","Lake Havasu City",0,2,1,6,25,90,6,2017,7,"AZ",9,121,"Lake Havasu City","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",59166,59720,NA,NA,"","Lake Havasu City","AZ","West","Mountain",59720
"Lakeville, MN","Lakeville",0,1,0,2,7,29,1,2018,3,"MN",3,37,"Lakeville","https://cde.state.mn.us/","State UCR","Open Source",75548,76929,NA,NA,"","Lakeville","MN","Midwest","West North Central",76929
"Lakewood, CO","Lakewood",0,7,24,74,76,499,95,2024,1,"CO",105,670,"Lakewood","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",157068,156065,NA,NA,"","Lakewood","CO","West","Mountain",156065
"Lancaster, PA","Lancaster",0,3,5,20,7,57,8,2021,3,"PA",28,72,"Lancaster","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",57295,57213,NA,NA,"","Lancaster","PA","Northeast","Middle Atlantic",57213
"Lansing, MI","Lansing",3,9,10,93,56,186,72,2022,7,"MI",115,314,"Lansing","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,112529,NA,NA,"","Lansing","MI","Midwest","East North Central",112529
"Laredo, TX","Laredo",1,7,27,49,72,533,25,2017,1,"TX",84,630,"Laredo","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",256973,256542,NA,NA,"","Laredo","TX","South","West South Central",256542
"Las Vegas, NV","Las Vegas",11,NA,357,395,1248,2461,678,2017,1,"NV",763,4387,"Las Vegas","https://nevadacrimestats.nv.gov/public/View/dispview.aspx","State UCR","Open Source",1667961,1670226,NA,NA,"","Las Vegas Metropolitan Police Department","NV","West","Mountain",1670226
"Lawrence, MA","Lawrence",1,1,18,28,28,67,51,2017,1,"MA",48,146,"Lawrence","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",88422,87806,NA,NA,"","Lawrence","MA","Northeast","New England",87806
"League City, TX","League City",1,1,3,5,17,96,12,2017,1,"TX",10,125,"League City","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",116511,115791,NA,NA,"","League City","TX","South","West South Central",115791
"Leander, TX","Leander",0,1,1,4,6,28,4,2017,1,"TX",6,38,"Leander","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",73905,82228,NA,NA,"","Leander","TX","South","West South Central",82228
"Lee's Summit, MO","Lee's Summit",0,1,8,4,17,106,5,2017,1,"MO",13,128,"Lee's Summit","https://showmecrime.mo.gov/","State UCR","Open Source",103976,104402,NA,NA,"","Lee's Summit","MO","Midwest","West North Central",104402
"Lewisville, TX","Lewisville",0,8,10,14,34,137,12,2017,1,"TX",32,183,"Lewisville","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",113568,133694,NA,NA,"","Lewisville","TX","South","West South Central",133694
"Lexington, KY","Lexington",2,9,47,28,246,726,111,2017,1,"KY",86,1083,"Lexington","https://www.lexingtonky.gov/crime-data","Agency Aggregated","Open Source",320983,319994,NA,NA,"","Lexington","KY","South","East South Central",319994
"Lincoln, NE","Lincoln",0,23,10,55,123,582,60,2020,12,"NE",88,765,"Lincoln","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",293937,293155,NA,NA,"","Lincoln","NE","Midwest","West North Central",293155
"Little Elm, TX","Little Elm",1,1,1,2,5,22,3,2017,1,"TX",5,30,"Little Elm","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55340,59954,NA,NA,"","Little Elm","TX","South","West South Central",59954
"Little Rock, AR","Little Rock",3,14,55,231,173,858,119,2017,1,"AR",303,1150,"Little Rock","https://www.littlerock.gov/media/21988/part-i-offenses-by-month.pdf","Agency Aggregated","Open Source",201513,202986,NA,NA,"","Little Rock","AR","South","West South Central",202986
"Livonia, MI","Livonia",0,3,1,19,14,108,11,2023,8,"MI",23,133,"Livonia","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,93042,NA,NA,"","Livonia","MI","Midwest","East North Central",93042
"Long Beach, CA","Long Beach",4,10,85,100,257,678,265,2017,1,"CA",199,1200,"Long Beach","https://www.longbeach.gov/police/crime-info/crime-statistics/","Agency Aggregated","Open Source",447528,444415,NA,NA,"","Long Beach","CA","West","Pacific",444415
"Longmont, CO","Longmont",0,9,2,16,28,130,28,2020,2,"CO",27,186,"Longmont","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",101159,98444,NA,NA,"","Longmont","CO","West","Mountain",98444
"Longview, TX","Longview",0,5,10,19,68,194,26,2017,1,"TX",34,288,"Longview","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",81811,82981,NA,NA,"","Longview","TX","South","West South Central",82981
"Lorain, OH","Lorain",0,1,3,14,20,71,18,2023,4,"OH",18,109,"Lorain","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",65536,65436,NA,NA,"","Lorain","OH","Midwest","East North Central",65436
"Los Angeles, CA","Los Angeles",33,NA,NA,NA,NA,NA,NA,2017,1,"CA",33,0,"Los Angeles","https://www.lapdonline.org/","Agency Aggregated","Provided by Agency",3809182,3786018,NA,NA,"","Los Angeles","CA","West","Pacific",3786018
"Louisville, KY","Louisville",6,39,112,209,539,1757,382,2017,1,"KY",366,2678,"Louisville","https://data.louisvilleky.gov/search?tags=lmpd","Agency RMS","Open Source",677554,669468,NA,NA,"","Louisville Metro","KY","South","East South Central",669468
"Loveland, CO","Loveland",0,10,3,8,17,128,13,2023,9,"CO",21,158,"Loveland","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",77770,78656,NA,NA,"","Loveland","CO","West","Mountain",78656
"Lower Merion, PA","Lower Merion",0,0,1,1,4,40,3,2023,2,"PA",2,47,"Lower Merion","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",64642,64350,NA,NA,"","Lower Merion Township","PA","Northeast","Middle Atlantic",64350
"Lower Paxton, PA","Lower Paxton",0,1,0,4,3,28,2,2022,1,"PA",5,33,"Lower Paxton","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",54552,55204,NA,NA,"","Lower Paxton Township","PA","Northeast","Middle Atlantic",55204
"Lynchburg, VA","Lynchburg",1,2,2,22,23,129,9,2017,5,"VA",27,161,"Lynchburg","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",79421,79509,NA,NA,"","Lynchburg","VA","South","South Atlantic",79509
"Lynn, MA","Lynn",0,3,8,29,8,51,14,2020,9,"MA",40,73,"Lynn","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",101056,101144,NA,NA,"","Lynn","MA","Northeast","New England",101144
"Malden, MA","Malden",0,3,1,9,5,43,12,2020,7,"MA",13,60,"Malden","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",64356,64291,NA,NA,"","Malden","MA","Northeast","New England",64291
"Manchester, NH","Manchester",0,8,16,37,44,152,12,2017,1,"NH",61,208,"Manchester","https://www.manchesternh.gov/Departments/Police/Administrative-Division/Crime-Analysis/Interactive-Data-Dashboards","Agency Aggregated","Open Source",114650,114963,NA,NA,"","Manchester","NH","Northeast","New England",114963
"Mansfield, TX","Mansfield",0,0,1,2,12,43,4,2017,1,"TX",3,59,"Mansfield","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",75993,78788,NA,NA,"","Mansfield","TX","South","West South Central",78788
"Maple Grove, MN","Maple Grove",0,2,0,2,2,52,3,2018,3,"MN",4,57,"Maple Grove","https://cde.state.mn.us/","State UCR","Open Source",70935,70729,NA,NA,"","Maple Grove","MN","Midwest","West North Central",70729
"Marana, AZ","Marana",1,0,4,2,10,90,7,2017,6,"AZ",7,107,"Marana","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",57119,57718,NA,NA,"","Marana","AZ","West","Mountain",57718
"Maricopa, AZ","Maricopa",0,1,0,8,5,29,8,2019,1,"AZ",9,42,"Maricopa","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",66525,70355,NA,NA,"","Maricopa","AZ","West","Mountain",70355
"McAllen, TX","McAllen",2,2,4,15,16,316,4,2017,1,"TX",23,336,"McAllen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",145510,145684,NA,NA,"","McAllen","TX","South","West South Central",145684
"Mckinney, TX","Mckinney",0,7,7,7,23,163,22,2017,1,"TX",21,208,"Mckinney","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",208415,212716,NA,NA,"","McKinney","TX","South","West South Central",212716
"Memphis, TN","Memphis",18,54,329,651,798,2102,386,2017,1,"TN",1052,3286,"Memphis","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency Aggregated","Open Source",624944,616061,NA,NA,"","Memphis","TN","South","East South Central",616061
"Meriden, CT","Meriden",1,2,3,7,1,114,16,2022,3,"CT",13,131,"Meriden","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",60332,60054,NA,NA,"","Meriden","CT","Northeast","New England",60054
"Meridian, ID","Meridian",0,4,1,17,5,63,5,2024,5,"ID",22,73,"Meridian","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",132522,135239,NA,NA,"","Meridian","ID","West","Mountain",135239
"Mesa, AZ","Mesa",2,26,34,125,109,664,99,2022,1,"AZ",187,872,"Mesa","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",513116,515848,NA,NA,"","Mesa","AZ","West","Mountain",515848
"Mesquite, TX","Mesquite",1,5,25,20,90,343,82,2017,1,"TX",51,515,"Mesquite","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",147226,147926,NA,NA,"","Mesquite","TX","South","West South Central",147926
"Methuen, MA","Methuen",0,0,0,6,6,40,8,2020,8,"MA",6,54,"Methuen","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",52853,53558,NA,NA,"","Methuen","MA","Northeast","New England",53558
"Miami Beach, FL","Miami Beach",0,8,25,21,47,603,39,2017,1,"FL",54,689,"Miami Beach","https://www.miamibeachfl.gov/yourmbpd/monthlycrimesdatareport/","Agency Aggregated","Open Source",89017,78824,NA,NA,"Population via FBI CIUS 2020","Miami Beach","FL","South","South Atlantic",78824
"Midland, TX","Midland",0,3,7,22,37,156,21,2017,1,"TX",32,214,"Midland","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",129945,135253,NA,NA,"Inferred Jul-Dec 2021 from police reported annual total","Midland","TX","South","West South Central",135253
"Milford, CT","Milford",0,1,4,1,1,48,6,2021,2,"CT",6,55,"Milford","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",52694,53011,NA,NA,"","Milford","CT","Northeast","New England",53011
"Milpitas, CA","Milpitas",0,NA,3,3,22,143,24,2017,1,"CA",6,189,"Milpitas","https://www.milpitas.gov/1107/Crime-and-Incident-Data","Agency Aggregated","Open Source",77790,76573,NA,NA,"","Milpitas","CA","West","Pacific",76573
"Milwaukee, WI","Milwaukee",11,NA,NA,NA,NA,NA,NA,2017,1,"WI",11,0,"Milwaukee","https://data.milwaukee.gov/dataset/wibr","Agency RMS","Open Source",561743,558698,NA,NA,"","Milwaukee","WI","Midwest","East North Central",558698
"Minneapolis, MN","Minneapolis",4,48,185,211,333,1325,172,2017,7,"MN",448,1830,"Minneapolis","https://cde.state.mn.us/","State UCR","Open Source",421690,422341,NA,NA,"","Minneapolis","MN","Midwest","West North Central",422341
"Minnetonka, MN","Minnetonka",0,0,4,1,6,58,4,2022,12,"MN",5,68,"Minnetonka","https://cde.state.mn.us/","State UCR","Open Source",52309,51791,NA,NA,"","Minnetonka","MN","Midwest","West North Central",51791
"Mission, TX","Mission",0,0,3,3,23,182,14,2017,1,"TX",6,219,"Mission","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",86577,87031,NA,NA,"","Mission","TX","South","West South Central",87031
"Missouri City, TX","Missouri City",0,0,8,11,18,83,7,2017,1,"TX",19,108,"Missouri City","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",75323,77560,NA,NA,"","Missouri City","TX","South","West South Central",77560
"Moline, IL","Moline",0,6,0,13,10,57,9,2021,3,"IL",19,76,"Moline","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",42009,42009,NA,NA,"","Moline","IL","Midwest","East North Central",41601
"Mount Prospect, IL","Mount Prospect",0,0,2,1,2,35,2,2022,8,"IL",3,39,"Mount Prospect","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",53932,53932,NA,NA,"Inferred Jan-Mar 2021 counts from annual average","Mount Prospect","IL","Midwest","East North Central",53932
"Nashua, NH","Nashua",1,3,6,6,4,89,3,2017,1,"NH",16,96,"Nashua","https://crimestats.dos.nh.gov/","State UCR","Open Source",NA,91145,NA,NA,"","Nashua","NH","Northeast","New England",91145
"Nashville, TN","Nashville",9,NA,192,456,335,1509,227,2017,1,"TN",657,2071,"Nashville","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency RMS","Open Source",679562,690495,NA,NA,"","Metropolitan Nashville Police Department","TN","South","East South Central",690495
"National City, CA","National City",0,5,11,20,13,85,23,2019,2,"CA",36,121,"National City","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",55676,55270,NA,NA,"","National City","CA","West","Pacific",55270
"New Braunfels, TX","New Braunfels",0,3,2,9,17,92,9,2017,1,"TX",14,118,"New Braunfels","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",107017,111942,NA,NA,"","New Braunfels","TX","South","West South Central",111942
"New Britain, CT","New Britain",0,2,11,10,18,91,20,2021,2,"CT",23,129,"New Britain","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",73621,74609,NA,NA,"","New Britain","CT","Northeast","New England",74609
